chunk_id,source,doc_type,chunk_index,strategy,text,token_count
[slides]_i_nlp__c000,[slides]_i_nlp.pptx,slides,0,per_slide,"Week 6
1
Natural Language Processing I

NLP Module
This Week: 
Introduction, NLP Neural Networks, Implementation

Next Week:
NLP Applications, Transformers, Advanced Topics (LLMs)
2

Agenda
Introduction to Natural Language Processing
Tasks, Challenges, & Applications
Text Preprocessing
Traditional Approaches

NLP Neural Networks
Word Embeddings (Word2Vec)
Recurrent Neural Networks
LSTM and GRU architectures

NLP Implementation
3

Introduction to Natural Language Processing
4
Image Source: nadi borodina, Surendran MP",135
[slides]_i_nlp__c001,[slides]_i_nlp.pptx,slides,1,per_slide,"Overview
5
Search

Search within app

Search Engines (ie Google, Bing)
Machine Translation

Google Translate

Translation Apps
Text Classification

Spam tagging

Sorting articles
Sentiment Analysis

Market Research

Behavioral studies

Social media analysis
Text Similarity

Plagiarism checkers

Overview
6
Q&A

Chatbots
Text Summarization

Amazon Review Summaries
Text Generation

ChatGPT, Claude, Gemini
Topic Modeling

Auto-tag web articles

Attributes in product reviews
Multimodal (NLP+)

Applications combining text and images (or other modalities)

Multimodal LLMs

Representing Text
7
bank of the river
[34, 56, 24, ….. 23, 56]",187
[slides]_i_nlp__c002,[slides]_i_nlp.pptx,slides,2,per_slide,"Representing Text
8
deposited money at the bank
[51, 22, 19, ….. 40, 95]
bank of the river
[34, 56, 24, ….. 23, 56]

Challenges
9
deposited money at the bank
[51, 22, 19, ….. 40, 95]
bank of the river
[34, 56, 24, ….. 23, 56]
Words with different meanings (homonyms)

Challenges
10
Words with different meanings (homonyms)
Words with the same meaning (synonyms)
Sneakers, running shoes, tennis shoes

Challenges
11
Words with different meanings (homonyms)
Words with the same meaning (synonyms)
Observations are not independent. History matters.
The dog ate the bone. It tasted good.
Image Source: Karin Hiselius",192
[slides]_i_nlp__c003,[slides]_i_nlp.pptx,slides,3,per_slide,"Challenges
12
Words with different meanings (homonyms)
Words with the same meaning (synonyms)
Observations are not independent. History matters.
Semantic Ambiguity
I saw the boy on the beach with my binoculars
Image Source: Jen Theodore,  Shane Dawson

Challenges
13
Words with different meanings (homonyms)
Words with the same meaning (synonyms)
Observations are not independent. History matters.
Semantic Ambiguity
Slang/colloquialisms
That snowboarder did a sick jump
Image Source: Markos Mant

Challenges
14
Words with different meanings (homonyms)
Words with the same meaning (synonyms)
Observations are not independent. History matters.
Semantic Ambiguity
Slang/colloquialisms
Acronyms
Master of Engineering in AI",192
[slides]_i_nlp__c004,[slides]_i_nlp.pptx,slides,4,per_slide,"Challenges
15
Words with different meanings (homonyms)
Words with the same meaning (synonyms)
Observations are not independent. History matters.
Semantic Ambiguity
Slang/colloquialisms
Acronyms
Variable length sequences
Sentences have different numbers of words. So do documents! Do they? Yes.

Challenges
16
Words with different meanings (homonyms)
Words with the same meaning (synonyms)
Observations are not independent. History matters.
Semantic Ambiguity
Slang/colloquialisms
Acronyms
Variable length sequences 
Sarcasm / Humor
Image Source: Nick Fewings

Representing Text
17
bank of the river
[34, 56, 24, ….. 23, 56]
?

Text Preprocessing
18
18
Image Source: Clarissa Watson, Brett Jordan",198
[slides]_i_nlp__c005,[slides]_i_nlp.pptx,slides,5,per_slide,"19
Preprocessing Pipeline
Raw Text
Model
Tokenize
Remove Stop Words + Punctuation
Lemmatize/Stem words

20
1. Tokenization
Tokenization divides text strings into lists of substrings
Primarily splits text on whitespace and punctuation
“Which class is the best class at Duke? Deep Learning Applications.”
[‘Which’, ‘class’, ‘is’, ‘the’, ‘best’, ‘class’, ‘at’, ‘Duke’, ‘?’, ‘Deep’, ‘Learning’, ‘Applications’, ‘.’]
Tokenizer Model",163
[slides]_i_nlp__c006,[slides]_i_nlp.pptx,slides,6,per_slide,"21
1. Tokenization
# Tokenize by word
Input: ""Tokenization is an important NLP task.""
Output: [""Tokenization"", ""is"", ""an"", ""important"", ""NLP"", ""task"", "".""]

# Tokenize by sentence
Input: ""Tokenization is an important NLP task. It helps break down text into smaller units.""
Output: [""Tokenization is an important NLP task."", ""It helps break down text into smaller units.""]

# Tokenize by subword
Input: ""tokenization""
Output: [""token"", ""ization""]

# Tokenize by character
Input: ""Tokenization""
Output: [""T"", ""o"", ""k"", ""e"", ""n"", ""i"", ""z"", ""a"", ""t"", ""i"", ""o"", ""n""]",181
[slides]_i_nlp__c007,[slides]_i_nlp.pptx,slides,7,per_slide,"22
1. Tokenization
If working with a particular pre-trained model, you will want to use their tokenizer (ie BERT tokenizer, GPT tokenizer)

23
2. Stop Word Removal
Many common words add little value to our understanding of a sentence or document
We usually remove these words (stopwords) so our model can focus on the words that matter",81
[slides]_i_nlp__c008,[slides]_i_nlp.pptx,slides,8,per_slide,"24
2. Stop Word Removal
We can also add stop words to the list to remove depending on our task
[‘Which’, ‘class’, ‘is’, ‘the’, ‘best’, ‘class’, ‘at’, ‘Duke’, ‘?’, ‘Deep’, ‘Learning’, ‘Applications’, ‘.’]
[‘Which’, ‘class’, ‘best’, ‘class’, ‘Duke’, ‘Deep’, ‘Learning’, ‘Applications’]
Remove Stop Words",159
[slides]_i_nlp__c009,[slides]_i_nlp.pptx,slides,9,per_slide,"25
3. Lemmatize/Stem
A common challenge is identifying that different forms of a word refer to the same thing (e.g. plurals)
We replace the words with their root to reduce complexity
branch
branches
branching
branched
branch

26
3. Lemmatize/Stem
Stemming
Lemmatizing
Reduces words to their stem (part to which we add a suffix)
Even if the stem is not an actual word
Crude but fast
Reduces words to a normalized form through a mapping dictionary
The normalized form is still a word
Slower but usually better

27
3. Lemmatize/Stem

Traditional NLP
28
28
Bag of Words
Term Frequency-Inverse Document Frequency (TF-IDF)",181
